,original_ref,rxn_ref,retro_template,count
103,R15,R13,([c:3]-[c:2]1:[n:1]:[c:4]:[nH]:n:1)>>([N:1]#[C:2]-[c:3]).(O-[C:4]=O),10715
104,R15,R13,([c:3]-[c:2]1:[n:1]:[c:4]:[nH]:n:1)>>([N:1]#[C:2]-[c:3]).(C-O-[C:4]=O),7962
105,R15,R13,([c:4]-[c:3]1:[n:2]:[c:1]:n:[nH]:1)>>([C:1]#[N:2]).(C-C-O-[C:3](=O)-[c:4]),7786
106,R15,R13,([c:4]-[c:3]1:[n:2]:[c:1]:n:[nH]:1)>>([C:1]#[N:2]).(O-[C:3](=O)-[c:4]),7709
107,R15,R13,([c:4]-[c:3]1:[n:2]:[c:1]:n:[nH]:1)>>([C:1]#[N:2]).(C-O-[C:3](=O)-[c:4]),7281
108,R15,R13,([c:3]-[c:2]1:[n:1]:[c:4]:[nH]:n:1)>>([N:1]#[C:2]-[c:3]).(C-C-O-[C:4]=O),6383
109,R15,R13,([c:5]-[c:4]1:[n:1]:[c:2](-[c:3]):n:[nH]:1)>>([N:1]#[C:2]-[c:3]).(C-C-O-[C:4](=O)-[c:5]),5763
110,R15,R13,([c:5]-[c:4]1:[n:1]:[c:2](-[c:3]):n:[nH]:1)>>([N:1]#[C:2]-[c:3]).(O-[C:4](=O)-[c:5]),5756
111,R15,R13,([c:3]1:[n:2]:[c:1]:n:[nH]:1)>>([C:1]#[N:2]).(C-O-[C:3]=O),5472
112,R15,R13,([c:5]-[c:4]1:[n:1]:[c:2](-[c:3]):n:[nH]:1)>>([N:1]#[C:2]-[c:3]).(C-O-[C:4](=O)-[c:5]),5078
113,R15,R13,([c:3]1:[n:2]:[c:1]:n:[nH]:1)>>([C:1]#[N:2]).(O-[C:3]=O),4915
114,R15,R13,([c:3]1:[n:2]:[c:1]:n:[nH]:1)>>([C:1]#[N:2]).(C-C-O-[C:3]=O),4442
115,R16,R14,(N#C-c1:[c:1]:[cH:2]:[c:3](-[c:4]):n:c:1-O)>>(O=[C:1]-[CH2:2]-[C:3](=O)-[c:4]),4865
116,R16,R14,(N#C-c1:[c:1]:[cH:2]:[c:3]:n:c:1-O)>>(O=[C:1]-[CH2:2]-[C:3]=O),2116
117,R16,R14,(N#C-c1:[c:1]:[c:2]:[c:3]:n:c:1-O)>>(O=[C:1]-[CH:2]-[C:3]=O),739
118,R16,R14,(N#C-c1:[c:1]:[c:2]:[c:3](-[c:4]):n:c:1-O)>>(O=[C:1]-[CH:2]-[C:3](=O)-[c:4]),111
119,R16,R14,(N#C-c1:[c:4](-[c:5]):[cH:3]:[c:1](-[c:2]):n:c:1-O)>>(O=[C:1](-[c:2])-[CH2:3]-[C:4](=O)-[c:5]),84
120,R16,R14,(N#C-c1:[c:4](-[c:5]):[c:3]:[c:1](-[c:2]):n:c:1-O)>>(O=[C:1](-[c:2])-[CH:3]-[C:4](=O)-[c:5]),41
121,R17,R15,([CH2:1]-[C:3]-[O:2])>>([CH3:1].[OH:2]).(O=[C:3]),9359
122,R18,R16,([c:4]-[c:3]1:[cH:2]:[c:1]:[n:5]:[n:6]:1)>>(O=[C:1]-[CH2:2]-[C:3](=O)-[c:4]).([NH2:5]-[NH:6]),3248
123,R18,R16,([c:1]1:[cH:2]:[c:3]:[n:5]:[n:4]:1)>>(O=[C:1]-[CH2:2]-[C:3]=O).([NH2:4]-[NH:5]),1315
124,R18,R16,([c:4]-[c:3]1:[cH:2]:[c:1]:[n:5]:[n:6]:1-[c:7])>>(O=[C:1]-[CH2:2]-[C:3](=O)-[c:4]).([NH2:5]-[NH:6]-[c:7]),921
125,R18,R16,([c:6]-[n:5]1:[c:3]:[cH:2]:[c:1]:[n:4]:1)>>(O=[C:1]-[CH2:2]-[C:3]=O).([NH2:4]-[NH:5]-[c:6]),498
126,R18,R16,([c:1]1:[c:2]:[c:3]:[n:5]:[n:4]:1)>>(O=[C:1]-[CH:2]-[C:3]=O).([NH2:4]-[NH:5]),357
127,R18,R16,([c:6]-[n:5]1:[c:3]:[c:2]:[c:1]:[n:4]:1)>>(O=[C:1]-[CH:2]-[C:3]=O).([NH2:4]-[NH:5]-[c:6]),145
128,R18,R16,([c:2]-[c:1]1:[cH:3]:[c:4](-[c:5]):[n:6]:[n:7]:1)>>(O=[C:1](-[c:2])-[CH2:3]-[C:4](=O)-[c:5]).([NH2:6]-[NH:7]),64
129,R18,R16,([c:4]-[c:3]1:[c:2]:[c:1]:[n:5]:[n:6]:1)>>(O=[C:1]-[CH:2]-[C:3](=O)-[c:4]).([NH2:5]-[NH:6]),53
130,R18,R16,([c:5]-[c:4]1:[c:3]:[c:1](-[c:2]):[n:7]:[n:6]:1)>>(O=[C:1](-[c:2])-[CH:3]-[C:4](=O)-[c:5]).([NH2:6]-[NH:7]),32
131,R18,R16,([c:2]-[c:1]1:[cH:3]:[c:4](-[c:5]):[n:6]:[n:7]:1-[c:8])>>(O=[C:1](-[c:2])-[CH2:3]-[C:4](=O)-[c:5]).([NH2:6]-[NH:7]-[c:8]),26
132,R18,R16,([c:5]-[c:4]1:[c:3]:[c:1](-[c:2]):[n:7](-[c:8]):[n:6]:1)>>(O=[C:1](-[c:2])-[CH:3]-[C:4](=O)-[c:5]).([NH2:6]-[NH:7]-[c:8]),14
